alpha	beta	eta	r
22.51202773	1432.288812	0.001133464	1.666860346
0.316952875	0.008158328	252.2496272	123.7599389
15.72917801	1100.073035	0.003396482	106.2937059
0.55000965	0.001007266	0.132156388	3.919958385
0.013283796	5.128883119	9.367311602	83.75848495
0.388881638	81.99756958	12.8048778	11.8503501
0.00961692	3.05E-006	5.887278786	3.805326676
0.042480697	0.177881528	0.175751106	0.016447114
0.150315729	1.595961372	0.002536868	3.305481432
6.57112753	747.8085341	0.002796339	115.6234088
0.003429612	0.076197753	18.72708588	25.67182186
3.274686469	0.00333204	0.213360498	13.13511467
0.016314489	1.32563E-05	255.4083148	102.909761
11.86729984	1228.643177	0.000742348	1.249316523
106.8405735	4658.94759	0.001825324	6.953769062
0.033639772	4.39621E-05	329.1546176	161.1520847
0.006819889	0.007152894	405.9291284	15.73661997
0.001471607	0.010134119	0.509243956	0.026548138
27.72476099	1631.87556	0.002245077	72.3526362
0.475730606	0.026828283	0.019562157	2.450892461
0.016924891	0.345915847	486.6633792	18.11386837
0.002242297	0.009281031	1570.2698	25.52856047
0.001693784	0.003171877	715.6145547	10.7438377
1.159994762	6.019958253	0.001819934	0.641660843
0.046878286	0.014327546	208.9097142	14.14462959
0.153945848	0.000189002	124.3276605	16.89736456
0.673659598	101.8380205	0.000548014	1.177474596
0.081721743	0.000100948	82.64472017	27.46493548
2.055752261	0.002307351	0.228261738	26.96027682
0.210170363	0.549204173	0.183869389	0.006035662
1.694452464	4.090305874	0.069121735	0.111409998
0.041026608	3.16927E-05	15.89983824	1.0465312
0.001132453	0.126823206	13.99395161	122.337128
0.033796521	0.311103807	677.0359374	6.589518449
0.021431134	0.04434489	373.3192833	35.5557141
0.06656741	0.130156963	0.592575691	0.014998846
2.237549481	672.1205081	0.002921286	283.3306441
1.70627593	5.417780381	0.004856678	4.451079041
0.009691792	0.025538625	1396.118828	12.32333532
0.084902806	8.78633E-05	983.5792357	30.05381753
0.47548866	110.2089963	0.000435847	1.307924302
0.002115138	0.080152777	10.26388282	45.88134788
0.068377467	7.08327E-05	879.2326084	26.68101288
0.038610251	6.153695021	30.77650977	92.30385321
0.262240937	2.282834422	0.00792808	9.030097678
0.709012284	3.38525184	0.077784881	0.097248549
0.001042056	0.004592162	0.432750921	0.028058342
0.006190485	0.082868368	790.7759254	3.724753397
2.336466543	7.576440992	0.352706941	0.043968846
0.095225265	0.008467732	0.02467651	1.660774408
0.068377467	7.08327E-05	879.2326084	26.68101288
0.010763152	0.003537655	232.5805729	11.64050685
2.54161074	12.63573354	0.369522034	0.054306785
0.316952875	0.008158328	252.2496272	123.7599389
3.788606565	3.468909246	0.582885625	0.046795837
0.025384767	0.016320172	113.4676481	21.42725705
1.887358778	0.002330588	0.209861463	11.46187322
0.417322913	81.98838195	12.45641904	11.32780993
417.7197593	7297.28042	0.003175644	1.757198806
0.362894251	1.877998091	0.457383979	0.075520477
0.007299702	3.42603E-05	462.2397026	60.24820978
0.06656741	0.130156963	0.592575691	0.014998846
2.096272503	166.1578673	11.69174081	4.129454661
0.173693892	8.59777E-05	0.591762139	5.143929954
0.004017875	0.077407997	15.09840211	31.22543594
0.973191146	0.666453026	0.003216552	2.288170241
0.098604862	2.79492E-05	1.218002733	1.511545984
0.104372998	1.84907E-05	1.255798136	3.445140774
11.15134943	531.7906374	0.001233063	98.73905643
176.8319015	4845.468872	0.001810565	28.160364
0.013157665	0.027736633	1537.508247	27.95198439
0.083836658	4.78437E-05	0.749948731	2.854285876
52.93717788	1367.236907	0.000343385	0.751414783
0.005788779	0.019880886	1.415982956	0.037584086
0.023430718	1.481635269	6.262712509	40.05302725
1.164391396	0.001101305	0.191841387	31.32223463
0.021431134	0.04434489	373.3192833	35.5557141
0.125723852	0.423432473	0.119925815	0.032903321
0.020231739	0.015257452	1044.795311	39.09046962
4.349626169	18.2208339	0.403281305	0.078229656
0.038610251	6.153695021	30.77650977	92.30385321
0.003375072	0.111221606	15.18542425	23.63682098
0.079722885	2.77983E-05	8.850926323	2.471562934
0.021431134	0.04434489	373.3192833	35.5557141
0.070877788	0.000340916	380.8546117	81.11348004
19.41964516	351.2013449	13.95766456	2.11033156
0.018594376	0.357743714	503.4224557	12.13839402
0.709517057	0.035921558	346.1428758	144.4912418
0.018607179	7.57E-006	3.056600366	4.027251864
